Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;Abgabe
3922;19751101;20010630;438;   49.1162;  10.8596; Pfofeld-Langlau; Bayern;  Frei
3924;19370101;20050831;246;   48.9059;   8.7412; Pforzheim-Eutingen; Baden-Württemberg;  Frei
3925;19890406;20250619;332;   48.9329;   8.6973; Pforzheim-Ispringen; Baden-Württemberg;  Frei
3927;19580101;20250619;630;   47.9345;   9.2869; Pfullendorf; Baden-Württemberg;  Frei
3929;19480101;19850930;100;   49.2511;   8.4415; Philippsburg; Baden-Württemberg;  Frei
3939;19500101;20250619;382;   49.1912;   7.5879; Pirmasens; Rheinland-Pfalz;  Frei
3946;18820101;20250619;387;   50.4818;  12.1300; Plauen; Sachsen;  Frei
3954;19700701;19960930;26;   54.1603;  10.4345; Plön (Max-Planck-Institut); Schleswig-Holstein;  Frei
3955;19500101;19970131;24;   54.1590;  10.4020; Plön (See); Schleswig-Holstein;  Frei
3974;19490301;19930630;368;   49.5058;  11.5142; Pommelsbrunn; Bayern;  Frei
3975;19930901;20250619;522;   49.4777;  11.5357; Pommelsbrunn-Mittelburg; Bayern;  Frei
3987;18930101;20250619;81;   52.3812;  13.0622; Potsdam; Brandenburg;  Frei
3988;18930101;20191231;81;   52.3822;  13.0622; Potsdam (Säkularstation); Brandenburg;  Frei
4005;19460101;19571231;530;   47.8588;  12.3624; Prien-Stock; Bayern;  Frei
4018;19510101;19830831;550;   48.1877;  11.2206; Puch; Bayern;  Frei
4024;18530701;20250619;40;   54.3643;  13.4771; Putbus; Mecklenburg-Vorpommern;  Frei
4029;19400101;19571231;25;   52.6691;   7.9544; Quakenbrück; Niedersachsen;  Frei
4032;19450101;20250619;142;   51.7953;  11.1320; Quedlinburg; Sachsen-Anhalt;  Frei
4036;19530601;20250619;204;   51.3895;  11.5412; Querfurt-Mühle Lodersleben; Sachsen-Anhalt;  Frei
4038;19470101;19770630;27;   53.7276;   9.9071; Quickborn (Kurzer Kamp); Schleswig-Holstein;  Frei
4039;19741201;20250619;11;   53.7331;   9.8776; Quickborn; Schleswig-Holstein;  Frei
4053;19530101;19961231;407;   47.7457;   9.0006; Radolfzell-Markelfingen; Baden-Württemberg;  Frei
4063;19510101;20250619;41;   52.4461;   8.5906; Rahden-Kleinendorf; Nordrhein-Westfalen;  Frei
4066;19861101;19990131;553;   47.9091;  11.1048; Raisting; Bayern;  Frei
4077;19370101;19390731;114;   48.8471;   8.1868; Rastatt; Baden-Württemberg;  Frei
4079;19460904;20050630;200;   51.1765;  11.4183; Rastenberg; Thüringen;  Frei
4091;19620701;19980630;1640;   47.7327;  12.6827; Rauschberg bei Ruhpolding; Bayern;  Frei
4094;19460101;20250619;441;   47.8062;   9.6206; Weingarten, Kr. Ravensburg; Baden-Württemberg;  Frei
4100;19540101;19731231;109;   51.6243;   7.1820; Recklinghausen; Nordrhein-Westfalen;  Frei
4104;18790101;20250619;365;   49.0425;  12.1019; Regensburg; Bayern;  Frei
4125;18970101;20061130;470;   47.7238;  12.8740; Reichenhall, Bad; Bayern;  Frei
